魔剣,スコア,フラグ
スコル＆ハティ,5113,0
グレイプニル,5132,0
カンタレラ,5156,0
神器アイギス,5175,0
戦斧マルス,5180,0
ジャメヴ,5202,0
フラベルム,5209,0
フロッティ,5233,0
雷斧ペルーン,5254,0
アクケルテ,5277,0
フォーマルハウト,5299,0
アクアディンゲン,5324,0
魔眼パロール,5347,0
戦槍ミネルヴァ,5355,0
アンブレラ,5379,0
ヤタガラス,5402,0
セイバートゥース,5424,0
サイネリア,5448,0
イノケンティウス,5468,0
ディザスターマイン,5484,0
ヘルファイアワークス,5507,0
不俱戴天華,5530,0
マックアルイーン,5553,0
ルルイエ異本,5577,0
高電圧可変弩,5598,0
ガラティーン,5619,0
猿王如意棒,5642,0
グロリオーサ,5665,0
三日月宗近,5684,0
童子切安綱,5709,0
数珠丸恒次,5730,0
ディルンウィン,5753,0
鬼丸国綱,5776,0
大典太光世,5799,0
神菓エクレアンヌ,5822,0
神菓プディングンヌ,5845,0
神菓マカロンヌ,5868,0
天之尾羽張,5891,0
笑門フクキタル,5914,0
魔天猫ルコ,5932,0
魔剣グラム,5942,0
ぎんいろ,5961,0
神剣アマノムラクモ,5984,0
ロンゴミアント,6007,0
霊刀フツノミタマ,6030,0
イステの歌,6053,0
フライパン,6074,0
リヴァイヴ,6097,0
ジャガーノート,6110,0
レゲノダ・アウレア,6121,0
バルムンク,6143,0
塵地螺鈿飾剣,6166,0
ミーティア,6189,0
アスカロン,6212,0
メイプルシャフト,6235,0
アルストロメリア,6258,0
パイ＆シーズ,6277,0
ブリューナク,6297,0
丙子椒林剣,6320,0
クラウソラス,6343,0
スコルピオ,6366,0
オーガニクス,6389,0
アクエリア,6412,0
ダインスレイフ,6430,0
セラエノ断章,6452,0
サフラン色の死,6476,0
ヘカトンケイル,6499,0
カラドボルグ,6522,0
打ち出の小槌,6545,0
バールのようなもの,6568,0
ホーリーナイト,6591,0
ケットシークイン,6614,0
アルカード,6637,0
アガートラーム,6660,0
ゲイボルグ,6681,0
ロンギヌス,6700,0
シュムハザ,6723,0
ネクロノミコン,6743,0
ルールメイカー,6765,0
ミストルテイン,6788,0
サジタリア,6808,0
ヴァルプルギス,6831,0
覗き竜景光,6853,0
正宗,6873,0
マビノギオン,6882,0
リヴァイアサン,6897,0
グラーシーザ,6912,0
レヴァンテイン,6929,0
アルマゲスト,6946,0
蒸気砲バーデン,6970,0
夢幻クロウリー,6991,1
♰邪なる堕天せし者♰,7014,0
戦闘距離拡大戦略,7037,0
バロックフロート,7054,0
ドーパミン,7077,0
祈剣マカブインｘミサ,7100,0
雷切丸,7121,0
甕破り一文字,7144,0
流星刀,7163,0
水遁風魔手裏剣,7185,0
アンハッピーサブマリン,7204,0
破邪の双剣,7213,0
ムーンファルクス,7235,0
HAERETICUS,7257,0
スリーシックスティ,7278,0
セイレーン,7299,0
アンティオキア,7322,0
リリスの口づけ,7344,0
マンイーター,7361,0
ベルフェネス,7373,0
エンセフェロン,7395,0
デスゲイズ,7418,0
ドラグヴァンディル,7441,0
アナイアレイター,7463,0
ダイラタンシー,7486,0
スイカブレイド,7507,0
アクハト,7530,0
アイムール,7552,0
ヤグルシ,7572,0
流し斬り,7594,0
カールスナウト,7615,0
ミッドナイト,7635,0
ブライニクル,7658,0
ガ・ボウ,7681,0
ひのきのぼう,7704,0
アンハッピーフライト,7727,0
フレイムタン,7747,0
シザーマングローブ,7770,0
ひかりのゆみや,7793,0
妖刀國紅,7815,0
メルスキュポーラ,7838,0
フリーレン・タブー,7861,0
ラブリュス,7882,0
ウィングスタッフ,7905,0
ソウルコレクター,7928,0
レックレスアサルト,7951,0
フリューゲル,7973,0
ハルバード,7989,0
デッキブラシ,8011,0
ワイバーン,8032,0
ブルーティア,8054,0
アイスブランド,8077,0
フレイムハリアー,8100,0
ディアポリカ,8122,0
ティンダロスの猟犬,8145,0
ティルフィング,8168,0
キルゼムオール,8191,0
ロイヤルクラウン,8210,0
アルペジオ,8233,0
オートクレール,8256,0
バニラアーク,8278,0
フラゼルフの白い本,8301,0
クシャトリア,8324,0
デジャヴ,8334,0
雪月花,8357,0
エッケザックス,8377,0
アスラペイン,8398,0
ヘラクレス,8421,0
ハンターシャフト,8444,0
タスラム,8464,0
デスサイズ,8486,0
咲刃十六夜,8509,0
シャドウゲイト,8532,0
デュランダル,8555,0
シュヴァルツヴェイン,8578,0
ラムバロヒ,8600,0
トリスタン,8623,0
ガ・ジャルグ,8646,0
アークチャリオッツ,8667,0
青紅倚天,8690,0
チェーンソウ,8712,0
ドロマシュネフタ,8735,0
アキヌフォート,8757,0
風魔手裏剣,8777,0
祢々切丸,8800,0
セスタス,8822,0
ネザードワーフ,8845,0
リュカオン,8867,0
ハッピーアクアリウム,8889,0
アクアバリスタ,8912,0
魔法全書,8935,0
マグロ,8956,0
村雨,8978,0
フロストリーパー,9001,0
散華扇,9020,0
ナターシャ,9042,0
クランナルド紅本,9063,0
ビーストキラー,9086,0
フラガラッハ,9108,0
ダイルテンガ,9131,0
宝剣小狐丸,9154,0
ファイブハンドレッド,9176,0
フランヴェルジュ,9199,0
ヴォルケイノ,9222,0
ライドウ,9242,0
マカナ,9265,0
禁忌指定書物,9288,0
バスターソード,9299,0
ダークオブダーク,9322,0
モーニングスター,9345,0
アクアライン,9368,0
ヒートナイフ,9391,0
イーグルフロウ,9413,0
ホークアイ,9436,0
クレセントランス,9459,0
小太刀,9480,0
ビーストファング,9502,0
ワイルドエッジ,9506,0
ボーンククリ,9529,0
氷霜の書,9552,0
クロスボウ,9575,0
円月輪,9598,0
ナイトランス,9621,0
胴田貫,9641,0
ゼルコヴァ,9663,0
スノウフェンサー,9686,0
ルーンブレード,9690,0
ルーンロッド,9696,0
ファイアフライ,9719,0
バトルアクス,9740,0
パルチザン,9763,0
虎徹,9785,0
カイザーナックル,9808,0
フレアバゼラード,9831,0
ブロードソード,9836,0
ラピスヒィロソヒィア,9856,0
フォルネウスxヤム,9879,0
マルファスxレナ,9902,0
フルフルxルア,9925,0
バグイーター,9949,1
ルーンアクス,9972,0
ノートゥング:Blaze,10000,2
