魔剣,スコア,フラグ
ぎんいろ,5963,0
神剣アマノムラクモ,5984,0
ロンゴミアント,6005,0
霊刀フツノミタマ,6025,0
イステの歌,6046,0
フライパン,6064,0
リヴァイヴ,6085,0
ジャガーノート,6101,0
レゲノダ・アウレア,6107,0
バルムンク,6128,0
塵地螺鈿飾剣,6148,0
ミーティア,6167,0
戦杖ベローナ,6188,0
紅因幡,6209,0
アスカロン,6230,0
メイプルシャフト,6251,0
アルストロメリア,6271,0
パイ＆シーズ,6292,0
ブリューナク,6310,0
丙子椒林剣,6331,0
クラウソラス,6352,0
アルスマグナ,6373,0
スコルピオ,6394,0
オーガニクス,6410,0
アクエリア,6429,0
ダインスレイフ,6447,0
ミョルニル,6462,0
セラエノ断章,6483,0
サフラン色の死,6504,0
ヘカトンケイル,6525,0
カラドボルグ,6546,0
打ち出の小槌,6567,0
バールのようなもの,6587,0
魔煉サンタクロス,6607,0
ホーリーナイト,6628,0
ケットシークイン,6644,0
アルカード,6665,0
アガートラーム,6686,0
ゲイボルグ,6704,0
ロンギヌス,6721,0
シュムハザ,6739,0
ネクロノミコン,6758,0
ルールメイカー,6778,0
ミストルテイン,6799,0
サジタリア,6818,0
ヴァルプルギス,6838,0
覗き竜景光,6855,0
正宗,6873,0
マビノギオン,6877,0
リヴァイアサン,6888,0
グラーシーザ,6905,0
レヴァンテイン,6920,0
アルマゲスト,6938,0
蒸気砲バーデン,6955,0
夢幻クロウリー,6969,1
♰邪なる堕天せし者♰,6988,0
戦闘距離拡大戦略,7009,0
バロックフロート,7029,0
ドーパミン,7049,0
祈剣マカブインｘミサ,7070,0
雷切丸,7086,0
甕破り一文字,7107,0
流星刀,7120,0
水遁風魔手裏剣,7138,0
アンハッピーサブマリン,7159,0
破邪の双剣,7165,0
かまいたち,7186,0
なでしこ,7207,0
ムーンファルクス,7226,0
ワームスレイヤー,7241,0
HAERETICUS,7261,0
スリーシックスティ,7282,0
セイレーン,7298,0
アンティオキア,7319,0
リリスの口づけ,7338,0
マンイーター,7355,0
ベルフェネス,7363,0
エンセフェロン,7381,0
デスゲイズ,7402,0
ドラグヴァンディル,7423,0
アナイアレイター,7444,0
ダイラタンシー,7465,0
オンスロート,7483,0
ラハトエレヴ,7504,0
スイカブレイド,7523,0
アクハト,7543,0
アイムール,7564,0
ヤグルシ,7584,0
流し斬り,7605,0
ドウロヒョウシキ,7622,0
カールスナウト,7639,0
破邪の剣,7659,0
ミッドナイト,7677,0
ブライニクル,7698,0
ガ・ボウ,7719,0
ひのきのぼう,7740,0
アンハッピーフライト,7761,0
フレイムタン,7781,0
シザーマングローブ,7802,0
ひかりのゆみや,7823,0
妖刀國紅,7843,0
メルスキュポーラ,7864,0
フリーレン・タブー,7885,0
ラブリュス,7904,0
クロスキャンドル,7925,0
ウィングスタッフ,7946,0
ソウルコレクター,7967,0
レックレスアサルト,7987,0
フリューゲル,8008,0
ハルバード,8029,0
デッキブラシ,8049,0
ワイバーン,8070,0
ブルーティア,8088,0
アイスブランド,8109,0
スノーボード,8130,0
フレイムハリアー,8151,0
ディアポリカ,8172,0
ティンダロスの猟犬,8192,0
ティルフィング,8213,0
キルゼムオール,8234,0
ロイヤルクラウン,8255,0
アルペジオ,8275,0
オートクレール,8296,0
バニラアーク,8316,0
フラゼルフの白い本,8337,0
クシャトリア,8359,0
デジャヴ,8368,0
雪月花,8389,0
エッケザックス,8408,0
アスラペイン,8428,0
ヘラクレス,8449,0
ハンターシャフト,8470,0
タスラム,8488,0
デスサイズ,8509,0
咲刃十六夜,8529,0
シャドウゲイト,8550,0
デュランダル,8572,0
シュヴァルツヴェイン,8592,0
ラムバロヒ,8613,0
トリスタン,8634,0
ガ・ジャルグ,8655,0
アークチャリオッツ,8673,0
青紅倚天,8693,0
チェーンソウ,8714,0
ドロマシュネフタ,8735,0
アキヌフォート,8755,0
風魔手裏剣,8776,0
祢々切丸,8797,0
セスタス,8814,0
ネザードワーフ,8834,0
リュカオン,8853,0
ハッピーアクアリウム,8873,0
アクアバリスタ,8894,0
魔法全書,8915,0
マグロ,8933,0
村雨,8954,0
フロストリーパー,8975,0
散華扇,8994,0
ナターシャ,9013,0
クランナルド紅本,9031,0
ビーストキラー,9052,0
フラガラッハ,9073,0
ダイルテンガ,9094,0
宝剣小狐丸,9115,0
ファイブハンドレッド,9135,0
フランヴェルジュ,9156,0
ヴォルケイノ,9177,0
ライドウ,9198,0
マカナ,9219,0
ぺるりあ,9240,0
禁忌指定書物,9261,0
バスターソード,9268,0
ダークオブダーク,9290,0
モーニングスター,9311,0
アクアライン,9332,0
ヒートナイフ,9353,0
イーグルフロウ,9374,0
ホークアイ,9395,0
クレセントランス,9416,0
小太刀,9437,0
ビーストファング,9457,0
ワイルドエッジ,9463,0
ボーンククリ,9484,0
氷霜の書,9494,0
クロスボウ,9508,0
円月輪,9524,0
ナイトランス,9545,0
胴田貫,9554,0
ゼルコヴァ,9574,0
スノウフェンサー,9595,0
ルーンブレード,9601,0
ルーンロッド,9608,0
ファイアフライ,9629,0
バトルアクス,9650,0
パルチザン,9671,0
虎徹,9691,0
カイザーナックル,9712,0
フレアバゼラード,9725,0
ブロードソード,9731,0
ラピスヒィロソヒィア,9752,0
天煌の冥ミステリオン,9771,0
ウスサマ,9792,0
フォルネウスxヤム,9813,0
マルファスxレナ,9834,0
フルフルxルア,9855,0
バグイーター,9876,1
ルーンアクス,9897,0
魔弾シーダー,9917,0
ルキフェル=リリス,9938,0
ノートゥング:Blaze,9958,2
夢天猫ソラ,9979,0
イモケンピ,9999,0
